"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211179_at","211179_at",NA,-0.145150879121819,3.57962209244685,-3.9908736330752,0.00051034017662892,0.189875184831066,-0.141008416863272
"212575_at","212575_at","TMEM259",-0.248095512899003,4.99654007774429,-3.98987891468206,0.0005116430554414,0.189875184831066,-0.143145200140778
"206750_at","206750_at","MAFK",-0.161670981266615,4.87048975059269,-3.98274906269686,0.000521078356046689,0.189875184831066,-0.158459443171716
"210342_s_at","210342_s_at","TPO",-0.163358892415157,5.13142223643685,-3.97700193757984,0.000528808715325203,0.189875184831066,-0.170801650110278
"220638_s_at","220638_s_at","CBLC",-0.172849986073996,4.69734473902981,-3.96677057212588,0.000542851953835575,0.189875184831066,-0.192769280875742
"206831_s_at","206831_s_at","ARSD",-0.211417686771191,5.1066853189691,-3.96497871472166,0.000545349002790836,0.189875184831066,-0.196615926470856
"210618_at","210618_at","RAP1GAP",-0.245711294126826,6.16995812542881,-3.95861488037861,0.000554309318954438,0.190025762373258,-0.210275861274988
"206257_at","206257_at","CCDC9",-0.198209879829601,7.47785779318364,-3.93678341080202,0.000586166318501475,0.197902182957097,-0.257118186601139
"202671_s_at","202671_s_at",NA,0.627569213433809,6.28123956452675,3.92131879886827,0.000609818739016226,0.201746945186242,-0.290281220804795
"205199_at","205199_at","CA9",-0.189931825989902,6.25548676727736,-3.91758956702371,0.00061566181719986,0.201746945186242,-0.298275996061919
"219213_at","219213_at","JAM2",0.350293353283478,7.29347257137469,3.90457059890049,0.000636496318846042,0.20530621381924,-0.326178821752249
"218106_s_at","218106_s_at","MRPS10",0.300141153582696,6.22519410961582,3.89940713214803,0.000644950633547854,0.20530621381924,-0.337242141391037
"213331_s_at","213331_s_at","NEK1",0.306690891094197,5.67491025575853,3.89376289574553,0.000654318752264491,0.205354714883234,-0.349333410530313
"213840_s_at","213840_s_at","MRPS12",-0.193625701313415,5.10630416170967,-3.88345424960638,0.00067177602666278,0.205935223986465,-0.371411019731765
"216008_s_at","216008_s_at","ARIH2",-0.217484895566116,5.96566378619531,-3.88130513832091,0.000675472846690226,0.205935223986465,-0.376012707188706
"213986_s_at","213986_s_at","TMEM259",-0.332350919751608,5.15728677540628,-3.87561038002748,0.00068536593097725,0.205935223986465,-0.388204696782021
"211910_at","211910_at",NA,-0.239722693560858,5.78799255992382,-3.86888937596689,0.000697225547207793,0.205935223986465,-0.402590663581168
"202099_s_at","202099_s_at","DGCR2",-0.190810249093344,6.84655870736247,-3.86506209201551,0.000704069085513283,0.205935223986465,-0.410781237271499
"208597_at","208597_at",NA,-0.230311445042092,5.49198662082514,-3.86088187890532,0.00071161927240308,0.205935223986465,-0.419725810869856
"209412_at","209412_at",NA,0.464994822905479,4.94768257027128,3.84977628733798,0.000732067215498016,0.209136586704388,-0.443482282582567
"210974_s_at","210974_s_at","AP3D1",-0.261084227387206,5.72695453232726,-3.83517420538357,0.000759835190857298,0.211730468542711,-0.474703277713575
"216574_s_at","216574_s_at",NA,-0.231443626885514,5.27125007450838,-3.83501133981964,0.000760150674658567,0.211730468542711,-0.475051405899339
"221544_s_at","221544_s_at","MED16",-0.204663316944988,6.23313033902647,-3.82414139578714,0.000781500523486077,0.214989829195559,-0.498281140592499
"218212_s_at","218212_s_at","MOCS2",0.372761472166903,5.83269524184412,3.8128379350739,0.000804327328057839,0.216940982637552,-0.52242675967413
"206329_at","206329_at","EXTL1",-0.256874696545462,5.66539140434034,-3.81101744662627,0.000808064513706269,0.216940982637552,-0.526314527786058
"202930_s_at","202930_s_at","SUCLA2",0.529811302529932,6.98785240805949,3.80562339904232,0.000819238194179597,0.217322436677428,-0.537832165302102
"202072_at","202072_at","HNRNPL",0.328461992919446,7.85366399896401,3.79111525108615,0.000850050722104819,0.221344934794732,-0.568797932302278
"216111_x_at","216111_x_at","PMS2P3",-0.171552789509488,6.38494557553372,-3.78495494831276,0.000863475920328362,0.221344934794732,-0.581940577139898
"221740_x_at","221740_x_at","LRRC37A2",0.352167017811014,5.17080379800533,3.78462454516171,0.000864201827722553,0.221344934794732,-0.582645375049443
"206468_s_at","206468_s_at","METTL13",-0.197023657110425,7.18823897713347,-3.77779880921348,0.000879333062211394,0.222661120741551,-0.597203412193163
"209425_at","209425_at",NA,0.187518583127292,3.87549145992178,3.76993173189789,0.000897095754551242,0.223683654988163,-0.613977061812202
"204194_at","204194_at","BACH1",0.279780709809246,5.01166051475417,3.76715547770475,0.000903447872770032,0.223683654988163,-0.619895012254846
"220494_s_at","220494_s_at",NA,-0.307306992593503,6.73283244959238,-3.75959242924243,0.000920977173600813,0.225517959992823,-0.636012917770362
"210167_s_at","210167_s_at","TEF",-0.185540950005147,4.71020437980627,-3.73490912153505,0.000980542314830429,0.235661078545583,-0.688577661948416
"207762_at","207762_at","LPAL2",-0.147721361649626,4.4438245897817,-3.73094627784999,0.000990451204037769,0.235661078545583,-0.697011134547084
"204849_at","204849_at","TCFL5",0.375845488161253,5.43467195144578,3.7276692497955,0.000998719401804108,0.235661078545583,-0.703983889251512
"207888_at","207888_at",NA,-0.123734287005286,3.76510946330108,-3.7253141636962,0.00100470324740073,0.235661078545583,-0.70899428579444
"207349_s_at","207349_s_at","UCP3",-0.183781035330709,4.6485316618123,-3.71989605263999,0.00101860352424908,0.236237363519064,-0.72051903059309
"205886_at","205886_at","REG1B",-0.224969531549982,5.01708355781214,-3.70823122895339,0.00104917312270928,0.236237363519064,-0.74532061152498
"209384_at","209384_at","PLPBP",0.226061149247081,6.66542904902901,3.70821942857635,0.00104920449847601,0.236237363519064,-0.745345694043714
"214031_s_at","214031_s_at",NA,-0.132167753444888,4.92620640210708,-3.70522119723628,0.00105720631463769,0.236237363519064,-0.751718161708816
